Date,Nom,Temps,État,Description

"18/03/2026","Maquette","[55]","[DONE]","Maquette de l'application"
"18/03/2026","Creation de Get_commit","[55]","[DONE]","Creation du script Get_commit.sh pour récupérer les commits pour faire le journal de travail"
"18/03/2026","Initial commit","[1]","[DONE]","Initial commit"

"25/03/2026","Feat(Home): Creation de la page principal","[40]","[DONE]","Feat(Home): Creation de la page principal  - Page principale - Menu de navigation"
"25/03/2026","Doc(JNR): Créeation du journal de travail","[3]","[DONE]","Doc(JNR): Créeation du journal de travail  mise en place du scripte Get_commit.sh"
"25/03/2026","Feat(API): Featch api","[55]","[DONE]","Feat(API): Featch api  Affichage des livre sur la home page"
"25/03/2026","Feat(API): Featch api","[20]","[DONE]","FIX(Get_Commit): Correction du script Get_commit.sh pour récupérer les commits de la branche main et aussi les tache écrit dans le csv"
"25/03/2026","Fix(shell): color menu","[10]","[DONE]","Fix(shell): color menu"
"25/03/2026","Chor(Save): Save code on cloud","[7]","[DONE]","Chor(Save): Save code on cloud"

"01/04/2026","FIX(Get_commit): ca ne fonctionnais pas chez mes camarades","[10]","[DONE]","il avait modif les dates et il ne faut surtout pas"
"01/04/2026","Fix(Reload): Reload infini","[6]","[DONE]","Fix(Reload): Reload infini"
"01/04/2026","Feat(detail): affiche les detail d'un livre avec le bouton pour lire","[15]","[DONE]","Feat(detail): affiche les detail d'un livre avec le bouton pour lire"
"01/04/2026","Feat(Résumé): Ouvre le pdf de résumer","[40]","[DONE]","Feat(Résumé): Ouvre le pdf de résumer"
"01/04/2026","Feat(DarkMode): ajout d'un dark mode","[20]","[WIP]","Feat(DarkMode): ajout d'un dark mode"
"01/04/2026","Feat(EPUB): ouvire un epub","[40]","[WIP]","Feat(EPUB): ouvire un epub"
"01/04/2026","Doc(JNR)","[0]","[DONE]","Doc(JNR)"

"22/04/2026","Feat(nouvelle api): Api de Théo","[1h30]","[DONE]","Feat(nouvelle api): Api de Théo  Je n'arrive a pas grand chose pour le moment. ca run mais je n'arrive a rien avec les epub"
"22/04/2026","Feat(api): tentative de epub","[1h30]","[WIP]","Feat(api): tentative de epub  ca marche pas"

"29/04/2026","Fix(loading): lazy loading + UI improvements","[40]","[DONE]","Fix(loading): lazy loading + UI improvements"
"29/04/2026","Feat(API): api custom","[10]","[DONE]","Feat(API): api custom"

"06/05/2026","Feat: add custom api for mobile","[40]","[DONE]","Feat: add custom api for mobile"
"06/05/2026","Feat: add more input on add page","[13]","[DONE]","Feat: add more input on add page"
"06/05/2026","feat: sqlight","[60]","[DONE]","feat: sqlight"
"06/05/2026","Feat: epub","[7]","[DONE]","Feat: epub"
"06/05/2026","chore: update journal de travail","[?]","[?]","chore: update journal de travail"

"13/05/2026","fix: JRN","[40]","[DONE]","excel ne voulait pas ouvrir le csv alors j'ai du le convertir en xlsx et maintenant ça marche"
"13/05/2026","Fix(API): gestion erreurs reseau","[25]","[DONE]","ajout de messages d'erreur plus clairs quand l'api est inaccessible"
"13/05/2026","Feat(Settings): url api modifiable","[30]","[DONE]","ajout d'un champ pour configurer l'url du backend dans les parametres"
"13/05/2026","Fix(Android): detection emulateur vs telephone","[20]","[DONE]","correction de l'url par defaut selon le type d'appareil android"
"13/05/2026","Test(API): verification adb reverse","[15]","[DONE]","tests de connexion avec adb reverse tcp:3000 tcp:3000"
"13/05/2026","Fix: api / setings","[10]","[DONE]","call api avec l'url configuré dans les settings"
"13/05/2026","Chore: update journal de travail","[?]","[?]","chore: update journal de travail"

